actId	fe6e3de3793b841a	fb81c34606a4cb80	f914c04296317192	f8c6c48372cd9fa3	f7472d687ae0d01d	f5a2f777a444a29d	f559b8a9a08f9ac3	f3795127d35a3f13	f35136025c2c3baa	f331f447bddc0b0e	f002e00bff65df86	ea9339b695cbeb03	ea320dcf33f5c7de	e97512648bf795a9	e1d1ff4a3ce79394	e14b1e96fe046c1f	dbb30111963acd33	da54e6026f36bf91	da2dcba54d2819e9	da03e23109a22f04	d82e7da60890be79	d644f8b397f03758	d2db94f59648db8e	d1b31c17d01d0e81	d16ee39e6bf12285	cb88014344156e3b	c7f94981ad0ea526	c7e743e4b2055a13	c758bebbc1c19716	c4a1a353d69a11f2	c339aea30189a713	c1dbd40e671a72d8	bf1ebaad57e57e1a	bed5f3ae5f35a859	bd8bd1753f2d5ebf	b8beec277ac858bb	b57b6e0bed7c7e20	ae26632f2a693ffb	a97c17857722ab91	a4e7dc56955cc07b	9cab4ea8d9dc9220	9b19ccf8366ab355	98b7467b190f3abb	9555c91592724c1d	9469f3b141e63275	91cce3f13df16f36	91845ae0858b4443	9111220f56a64495	9000e854c0973fe0	8fed79fa824abdda	8fd9840026808866	8e607279b14f6787	8a0901e94a74a7bd	88968d3a84244824	87391292e13e277a	85ae4819bba6b89f	7c6e7c23f57e21d0	7bbd69be889028d1	779788362eccb1f6	75ddf1122169b414	74b2e4b0faa19cd8	7046f16c2b44db09	6b1ed24fee035f26	6a88faea8089e9a4	6a5db959e667fc01	672859aff683c6f2	63f674bb39c192fc	6121906d5236a297	5e2626e5c569d792	5a998212647ca937	5a164e7918d3add6	59136dfa57f25a99	56b9aae6ebba5043	52beba8475da0db7	4dd3a6b522e1b441	4bb142f004e19bf4	49ac7e0db0aedc45	4498ab463de73c4a	442cf01b55e74245	4232b22088f7e4aa	372010cf6c731f17	357d629de78649af	340164e947a64adf	31a1e7e502a0e983	2f3d9a13017d48d3	2e229bd04a90d7e0	2b983632a58e670e	2813d547ffd7b333	272bc4d6471a99ec	265244d9f3e6fdb1	263d60d0da422157	229eebb449a4beb5	19d0586f1a0e460b	15553e6a943c8a8c	145f0da5beb7e2b7	12a74df5d4a487c2	0f840ec638d2a95e	0e0b65a97d675c2a	0d88d65a43034649	0bef9b459a6e6d4e
Hunting	6	5	1	1	1	4	1	5	3	1	1	7	1	1	2	6	7	1	1	7	1	3	1	1	1	1	1	4	1	6	1	5	2	2	1	6	5	2.5	1	1	7	1	7	1	5	1	1	1	1	5	1	6	4	6	4	1	4	4	1	1	3	1	1	6	1	2	1	1	1	5	4	1	6	1	1	1	4	1	1	1	2	1	1	1	3	5	1	5	1	1	3	4	4	4	1	1	3	1	2	2
Jogging	5	6	6	3	1	6	1	4	5	1	3	1	4	1	7	7	6.5	3	3	4	1	5	1	4	7	3	1	4	2	4	5	5	5	4	1	7	6	2	5	7	7	3	4	2	1	4	6	1	5	1	3	4	4	7	1	5	3	2	4	4	3	3	1	6	1	6	6	1	4	5	5	3	6	6.5	1	6	6	3	4	6	2	4	1	7	3	3	3.5	4	1	1	3	3	5	5	4	5	7	1	1	2.5
Learning_a_craft	2	4	6	1	3	4	7	5	4	3	1	1	6	5	6	6	7	6	3	6	1	5	5	6	5	5	1	5	1	6.5	2	6	4	5	5	7	4	4	1	6	3	5	5	1	5	7	4	6	5	1	7	3	1	5	2	5	2	6	6	3	5	5	2	5	7	7	2	7	6	6.5	6	4	6	1	2.5	6	3	3	6	5	2	1	6	4	7	7	2	3	1	1	5	3	6	5	6	7	5	4	3	5
Learning_a_language	2	5	6	1	6	4	7	3	4	3	1	1	6	5	7	7	5	6	2	5	4	6	1	6	7	5	5	2	6	5	3	7	5	5	4	7	5	2	1	7	2	3	2	1	4	4	5	2	7	7	3	7	2	5	2	5	3	2	6	3	3	2	3	6	5	6	2	4	4	6	7	6	6	1	1	7	5	2	6	6	1	1	5	6	7	7	2	3.5	3	3	1	3	6	5	6	6	6	1	3	4
Making_origami	1	5	6	1	1	4	1	2	3	1	1	1	3	3	1	3	3	4	3	1	1	4	4	3	6	1	1	3	1	3	1	3	3	3	2	6	4	2	1	6	3	1	3	1	1	7	6	5	1	3	7	1	1	3	1	5	2	1	3	1	2	1	3	3	4	5	2	5	4	5	3	2	4	1	1	6	1	3	5	4	1	1	5	1	1	7	4	1	2	1	3	3	7	4	5	5	1	1	1	2
Meditating	1	5	6	2	6	5	5	7	1	3	2	1	5.5	5	7	6	4	4	5	1	4	1	1	6	4	4	1	2	1	6	4	6	4	2	4	7	3	3	2	5	5	5	2	1	1	5	1	3	5	3	4	1	7	3	1	7	1	3	6	5	2	4	7	5	5	6	3	5	6	4	4	2	7	1	4	2	5	5	6	5	1	1	1	4	5	7	1	6	1	1	5	6	6	1	3	6	6	1	1	3
Mentoring_others	7	3	6	2	2	3	7	2	4	7	2	1	5	5	6	6	2	3	3	2	1	4	1	5	7	5	3	2	2	3	3	4	3	1	4	5	3	2	4	2	5	7	2	5	1	7	1	3.5	5	1	4	4	1	4	5	4	1	5	5	4	3	2	6	4	2	3	5	5.5	3	3	6	5	5	4	1	3	3	3	5	5	1	1	3	6	7	1	1	2	1	2	5	1	7	4	3	7	6	2	1	4
Organizing_photo_albums	1	3	6	1	5	3	1	2	1	6	1	1	5	2	4	6	5	3	4	4	1	3	4	5	6.5	4	1	4	1	5	1	5	5	4	4	5	3	2	1	6	4	2	2	2	1	6	7	2	5	1	6	2	1	6	1	5	3.5	3	6	4	3	1	2	3	1	5	2	6	3	3	5	2	7	1	3	4	4	1	6	4	3	1	5	4	1	7	2	2	1	1	4	4	5	3	4	5.5	7	4	3	3
Painting	3	4	6	2	3	6	1	3	5	2	1	1	5	2	7	3.5	5	4	3	2	1	4	7	4	5	4	2	3	2	7	4	7	5	5	5	7	4	2	2	6	7	2	2	3	6	6	4	2	3	7	6	7	1	4	1	7	2	1	5	2	6	2	1	4	7	6	3	2	5	4	6	2	5	3	2	6	1	3	5	5	1	1	5	1	4	7	2	1	1	1	2	3	6	3.5	4	7	6	4	1	5
Participating_in_research	3	5	5	2	2	1	6	3	1.5	5	1	1	6	6	6	7	2	3	6	4	1	5	4	6	7	3	4.5	5	7	6	2	7	5.5	4	5	7	3	4	4	7	4.5	4	5	2	1	7	3	3	6	1	5	5	4	6	4	2	4	7	6	4	4	3	5	6	6	6	5	6	4	2	7	6	5	4	1	5	5	4	3	5	1	1	5	7	7	6	3	3	1	4	5	2.5	6	5	4	7	7	4	1	4
Picnicking	3	6	5	3	3	6	7	5	5	1	1	1	5	4	7	6	6	4	2	7	4	5	5	4	7	3	1	5	5	6	4	7	4	2	7	7	5	4	5	7	7	6	5	4	4	4	3	4	3	3	6	4	3	5.5	1	6	5	4	5	2	5	4	5	3.5	4	7	6	6	5	6	7	6	7	2	5	6	7	4	5	5	2	1	4	6	7	7	2.5	6	1	5	7	5	6	6	5	5	7	6	4	3
Playing_a_musical_instrument	5	5	6	2	1	4	3	2	5	1	1	1	4	7	7	6	7	5	2	7	1	3	4	4	7	2	4	4	6	4	1	7	6	4	1	7	7	4	2	6	7	1	3	1	6.5	5	1	2	4	7	5	6	7	5	1	5	5	1	4	4	7	2	5	5	6.5	5	4	5	5	6	7	4	5	7	1	6	3.5	4	5	5	1	1	3	6	4	5.5	1	4	1	1	1	3	7	3	3	7	6	1	1	4
Playing_arcade_games	1	3	6	5	1	7	7	5	4	7	7	1	1	7	7	6	5.5	5	2	7	1	5	3	1	7	2	4	3	1	4	4	6	3	3	7	7	4	5	5	6	5	1	7	1	7	6	1	1	5	5	6	5	3	3	5	6	2	5	1	4	5	7	3	6	7	4	5	6	6	7	7	5	5	1.5	1	3	3	6	2	5	1	2	5	1	7	7	6	5	4	1	4	6	7	5	4	7	5	3	2	5
Playing_baseball	3	6	2	5	1	6	1	2	5	1	4	1	1	4	1	6	6	3	4	1	1	3	1	1	7	2	1	2	7	6	1	1	4	4	1	5	3	3	1	7	7	5	2	1	1	6	1	1	1	1	2	1	4.5	1	2	1	1	7	4	1	5	7	3	6	1	1	2	2	4	2	7	3	4	1	1	3	2	2	1	1	2	1	1	1	4	2	1	7	1	1	1	3	6	3	3	2	5	3	5	3
Playing_billiard	4	5	2	4	1	5.5	1	4	5	1	1	2.5	2	2	1.5	6	5	3	3	7	1	2	1	2	7	3.5	4	5	6.5	6	1	5	4	4	7	1	5	3	2	5	5	2.5	5	1	3	6	1	1	2.5	1	6	4	1	6	1	4	2	7	2	2	3	7	3	6	5	6	6	2	1	7	7	3	3	4	1	4	1	3	3	4	1	1	3	4	3	4	5	6	2	1	2	5	7	3.5	4	7	1	1	7	3
Playing_bingo	1	5	4.5	2	2	6	1	4	2	1	1	1	5	6	4	7	3	4	4	2	1	3	7	5	4	5.5	1	1	1	6	1	6	6	3	2	3	4	2	5	4	5	1	3	1	1	6	1	6	7	7	6	2	1	2	1	7	1	1	5	4	3	5	3	3	4	5	2	7	5	1	6	6	7	1	2	2	1	2	2	4	1	1	6	4	5	1	4	5	1	1	5	5	6	3	4	5	5	6	2	2
Playing_board_games	1	4	7	5	1.5	6	5	4	1	7	5	1	3	5	7	6	3	4	2	6	1	6	5.5	3	7	5	3	5	5	6	5	6	6	4	5	7	3	4	6	7	7	5	4	1	5	4	6	2	7	7	7	4	1	6	2	7	3	5	2	4	3	7	2	5	3	6	4	6	6	6	6	6	5	2	5	5	1	3	6	4	1	1	6	4	5	6	4	6	4	7	7	3	6	5	3	7	7	7	1	7
Playing_bocce	1	4	3	3	1	1	1	3	2	1.5	1	1	2	4	2	5	6	4	2	1	1	2	1	2	4	1	1	3	1	4	1	2	3	4	4	1	2	4	1	6	3	5	3	1	1	1	1	1	7	3	1	5	1	1	1	1	1	1	2	1	2	3	1	4	1	4	3	7	3	3	4	3	3	1	1	3	1	1	1	3	1	1	1	1	3	4	1	1	1	1	1	2	6	2	4	3	1	1	1	2
Playing_bridge	2	3	2	1	1	4	1	3	2	1	1	1	2	1	4	7	2	3	2	1	1	3	5	2	5.5	1	1	5	5	1	1	2	4	4	6	1	3	1	1	4	3	6	2	1	1	3	1	1	1	3	4	3	1	4	1	1	1	1	3	1	4	4	1	4	1	3	3	4	2	2	4	5	4	1	1	2	1	2	2	2	1	1	5	4	2	1	1	3	1	7	1	3	6	3	3	7	1	2	1	2
Playing_cards	2	6	6	3	1	7	5	4	1	7	1	1	3	5.5	7	7	2	5	3	7	1	3	4	3	5	4	3	4	7	6	4	7	4	5	4	7	4	2	3	6	5	4	4	4	5	6	1	5	7	2	7	2	1	6	4	7	3	7	4	5	4	7	3	4	1	4	4	7	3	7	6	3	5	1	3	4	2	4	4	5	1	1	7	4	5	7	4	6	3	7	4	3	6	4	4	7	7	6	3	3
Playing_checkers	1	3.5	3	4	1	5	1	4	1	6	1	1	3	2	6	7	6	3	3	2	1	3	4	2	5	5	2	4	7	7	1	3	6	5	4	7	3	4	5	6	5	2	3	1	5	3	1	2	5	1	5	3	1	3	1	6	4	4	3	3	4	5	2	4	4	5	2	7	4	4	6	5	5	1	3	3	5	3.5	2	4	1	1	5	7	1	1	4	5	2	1.5	1	5	6	2	4	6	2	1	1	2
Playing_chess	1	2	4	4	1	6	1	4	1	1	1	2	3	4	6	7	5	4	3	1	1	2	3	3	6	4	1	2	6	4	2	6	5	5	1	1	4	5	7	6	1	1	3	4	7	1.5	4	1	4	1	6	6	1	5	4	4	2	6	4	4	4	5	5	5	2	3	1	3	2	5	6	5	5	1	1	4	3.5	2	2	3	1	1	2	1	1	1	2	3	1	1	3	3	7	2	4	7	5	5	1	2
Playing_croquet	1	6	1	3	1	2	1	3	2	1	1	1	2	2	3.5	2	6	3	2	1	1	3	3	2	5	1	1	4	1	1.5	1	2	4	2	5	1	4	1	1	5	4	4	3	1	1	2	1	1	1	5	5	4	1	4	2	7	3	1	2	1	3	3	1	4	1	5	3	6	1	5	4	2	3	1	1	4	2	2	1	5	1	1	1	1	2	3	2	1	1	1	1	2	6	3	3	4	3	3	1	2
Playing_frisbee	4	4.5	5	3	6	6	5	3	5	1	5	4	2	5	7	6	6	4	2	1	1	3	2	2	6	4	3	3	6	4	2	4	4	4	6	7	3	4	2	5	5	3	4	1	1	1	1	3	1	7	6	5	4	6	1	7	2	1	3.5	1.5	5	4	6	4	3	6	2	5	3	5	6	3	2	1	3	5	1	2	3	2	1.5	2	5	4	6	1	2	4	1	1	6	5	6	3	3	4	5	3	2	3
Playing_golf	6	3	1	5	1	4	5	5	7	1	5	1	2	1	2	6	4	4	1	3	1	5	1	2	6	4	1	2	1	3	2	2	4	2	3	5	4	4	2	3	7	2	4	1	1	1	1	1	1	1	3	2	1	6	2	1	1	3	2	1	4	7	4	7	3	3	5	1	1	6	6	1	3	6	1	2	4	2	1	2.5	1	1	1	1	3	4	1	4	2	2	1	6	5	5	3	2	6	1	1	4
Playing_mahjong	2	4	4.5	2	1	6	1	3	2	1	1	1	2	2	2	4	5	5	6	4	1	3	5	2	4	1	5	3	1	4	1	6	5	1	7	1	2	3	1	4	1	2	3	1	1	7	1	2	1	1	7	4	1	6	1	5	2	1	2	3	1	3	2	4	3	4.5	4	2	4	5	5	2	7	1	4	5	1	2	2	3	1	1	2	1	1	4	5	3	1	1	4	2	7	2	4	6	1	1	1	2
Playing_poker	2	5	4	1	1	6	2	5	1	2	1	1	3	2	1	7	3	4	2	3	1	3	1	2	3.5	1	1	4	2	4	1	7	4	2	4	4	3	3	2	5	5	1	5	1	5	3	1	1	1	2	7	1	1	4	1	7	1	7	3	4	3	7	3	2	1	5	2	3	1	7	7	3	5	1	1	4	3	4	2	3	2	2	7	1	5.5	1	3	2	2	1	1	2	5	4	5	7	3	6	4	3
Playing_racquetball	5.5	6	2	4	1	4	5	4	3	1	1	1	2	2.5	7	5.5	6.5	2	3	1	1	2	3	2	7	1	1	2	1	2	1	3	5	2	1	6	4	4	1	7	3	6	4	1	1	1	1	1	1	1	4	2	1	5	2	1	2	1	2	1	5	4	1	5	1	3	2	1	1	4	4	3	3	3	1	5	3	2	1	4	1	1	1	7	6	2	2	5	1	1	3	4	6	3	4	5	2	1	1.5	3
Playing_soccer	5	6	2	5	1	5	7	1	7	1	5	5	2	2	5	7	6	3	2	3	1	3	1	2	7	2	7	3	4	5	1	2	5	4	1	7	7	3	1	6	5	2	7	1	1	1	1	1	1	3	2	3	1	7	1	4	1	1	2	1	5	3	5	6	1	1	4	2	1	6	7	4	3	1	1	5	5	2	1	2	2	1	1	7	5	4	3	5	1	4	1	6	6	3	3	5	6	2	2	4
Playing_tennis	5	6	5	4	1.5	4	7	4	4	3	4	1	2	5	6	7	7	4	3	3	1	4	2	2	7	2	6	6	6	6	1	2	5	4	1	7	4	4	2	7	3	1	3	1	1	3	1	2	7	4	5	3.5	5	7	1	4	3	1	3	1	4.5	5	5	6	4	5	4	1	1	5	6	1	2	5	4	5	4	2	4	4	2	1	1	7	6	7	1	6	3	4	4	5	6	3	4	6	6	2	1	3
Playing_video_games	2	3	7	7	1	7	7	3	7	7	7	6	2	6	6	7	4	5	3	7	1	6	4	2	6	3	6	6	1	7	4	6	3	3	7	7	3	6	4	7	5	2	7	1	7	5	4	1	6	7	5	7	4	7	5	7	4	3	2	5	6	7	2	3	7	5	2	7	7	7	7	5	6	2	1	4	3	7	6	5	3	1	2	1	6	7	7	6	2	3	5	6	6	6	5	7	7	7	1	7
Playing_volleyball	5	4	4	6	4	5.5	6	2	4	1	3	1	4	3	7	7	6	6	3	1	1	3	1	4	6	2	1	3	5	6	3	3	4	4	1	4	5	4	4	7	7	7	3	1	1	1	1	4	3	1	3	2	1	7	1	5	1	1	4	1.5	5	6	4	6	2	6	3	1	5	3	7	5	6	1	1	4	6	3	3	2	2	1	1.5	7	6	5	3	7	3	1	1	3	6	3	3	4	5	1	1	2.5
Playing_with_a_pet	3.5	5	7	2	5	7	5	4	6	2	7	1	2	7	2	3	7	6	2	7	1	6	6	2	7	5	4	3	7	6	5	7	2	2	7	7	2	5	1	7	3	6	6	1	7	7	1	6	1	3	6	5	5	6	2	7	7	7	2	1	6	7	7	6	6.5	7	4	7	7	5	7	6	5	6	7	6	7	2.5	6	7	2	5	7	7	5	7	2	3	2	1	2	4	6.5	6	6	4	6.5	4.5	5	5
Practicing_martial_arts	4	6	6	4	2	4	6	5	2	1	1	1	2	4	7	5	5	5	3	1	1	5	2	2	5	1	1.5	2	1	6	3	3	6	4	4	7	5	2	2	7	1	1	3	2	1	1	1	1	1	3	3	7	1	6	2	4	1	7	2	1	5	2	1	5	2	4	3	1	1	4	5	1	7	1	1	5	3	3	3	4	2	2	1	6.5	5	7	1.5	6	2	1	1	3	7	5	5	4	5	1	2	3
Quilting	1	2	4	1	1	3	1	1	1	1	1	1	2	3	1	1	2	4	1	1	1	2	4	2	5	3	1	3	1	4	1	2	3	1	1	1	2	1	1	4	2	1	2	1	1	1	1	3	2	5	5	4	1	2	1	4	1	1	2	1	3	1	1	4	3	6	1	3	1	2	1	4	4.5	1	1	3	2	1	4	2	1	1	2	1	1	7	1	4	1	1	1	2	4	3	4	5	1	1	1	2
Radio_listening	5	5	6	1	4	4	6	6	5	7	4	2	6	1	6	7	2	4	3	3	1	3	2	6	7	6	4	2	7	5.5	3	6	5	4	7	4	5	3	3	7	5	5	4	1	4	7	6	6	1	3	7	5	7	6	2	7	2	5	6	6	4	3	6	4	7	7	4	7	5	5	5	5	7	7	3	6	2	6	5	6	1	2	6	7	6	7	5	6	2	1	2	4	6	4	5	7	7	5	5	4
Reading_fiction	2	3	6	2.5	3	6.5	7	3	5	7	1	1	5	3.5	6	7	4	4	6	5	1	4	5	5	7	3	1	5	6	5	5	5	6	5	6	7	2	4	4	7	5	6	4	1	1	7	6	5	7	3	7	4	7	5	2	7	5	5	5	7	5	3	5	2.5	5	4	4	7	6	6	7	4	5	4	7	7	6	3	7	7	1	2	7	1	7	7	3	5	1	3	5	2	5	4	4	5	6	7	3	4
Reading_newspapers_and_magazines	3	5	6	1	4	6	6	1	5	6	5	2	6	3	7	6	3	4	3	2	2	3	5	6	7	5	6	2	6	7	2	6	5	5	6	1	4.5	4	2	6	3.5	5	4	1	3	6	3	2	5	1	1.5	1	3	5	3	7	3	5	6	3	5	4	5	7	4	6	4	7	4	5	1	5	5	4	1	3	6	4	4.5	6	5	2	5	2	6	3	4.5	4	1	5	2.5	3	6	3	3	5	7	5	6	3
Reading_nonfiction	2	4	5	1	4	7	4	2	3	3	5	6	6	7	7	7	2	5	6	2	1	3	6	6	7	5	1	3	7	5	6	5	4	5	2	1	2	4	4	4	5	6	5	1	1	5	5	6	1	2	2	1	7	3	2	7	3	7	6	6	5	4	6	3	5	6	3	6	5	5	5	3	4	1	7	5	5	3	5	7	1	3	4	1	4	7	2	4	1	3	1	3	7	3	5	7	6	3	7	6
Refereeing_a_sports_game	2	5	1	1	1	2	5	1	4	1	2	1	3	1	2	5	5	2	2	1	1	4	1	2.5	6	1	1	2	1	2	1	1	3	2	1	7	7	2	1	2	3	1	2.5	1	1	1	1	1	1	5	2	4	1	4	1	1	1	1	2	2	2	4	3	5	1	2	2	1	1	1	7	4	5	1	1	3	4	3	1	1	1	1	1	1	5	1	1	4	2	1	1	1	5.5	4	3	2	2	1	1	3
Restoration_of_art_works	1	3	6	1	1	4	1	3	5	1	1	1	4	1	6	4.5	3	5	4	4	1	2	4	3	7	1	1	4	2	1	2	6	4	4	5	5	3	2	1	4	7	1	3	2	1	1	1	1	1	1	2	5	1	4.5	1	4	1	5	4	2	3	1	1	5	7	5.5	3	5	3	4	4	3	5	1	1	5	1	1	2	4	2	1	1	1	3	7	1	1	1	1	4	3	6.5	4	4	5.5	6	1	3	4
Restoration_of_buildings	2	3	5	1	2	2	1	2	2	1	1	1	3	1	4	5	3	5	1	2	1	2	1	3	6	3	1	3	2	1	3	5	4	4	5	4	3	2	2	6	5	5	3	1	1	2	1	1	1	1	1	4	3	4	2	1	1	5	4	1	4	2	2	3	4	5	4	5	3	5	1	4	6	1	4	3	2	3	1	4	1	1	1	1	4	7	1	2	1	2	5	4	6	2	4	3	6	1	5	2
Restoration_of_furniture	3	4	7	1	3	4	1	1.5	3	1	1	1	4	1	5	4.5	2	5	2	2	2	3	4	5	5	1	1	4	1	3	2	6	3	1	5	7	2	2	3	4	5	5	6	1	4	1	4	3	1	3	1	3	1	4	4	2.5	1	5	4	1	3	1	2	4	6	5	4	6	2	5	4	2	5	5	1	5	2	2	1	3	1	1	1	1	1	7	3	1	1	1	4	2	6	5	5	2	7	1	3	3
Riding_a_motorcycle	4	6	2	4	1	3	6	5	4	1	1	3	2	7	2	6	6	3	3	5	1	4	1	2	7	1	1	5	5	7	1	7	5	4	6	7	4	4	1	7	1	1	6	2	7	1	4	1	1	1	3	1	7	5	2	1	1	7	2	1	7	4	1	7	4	3	4	1	2	7	5	4	7	7	1	1	1	2	3	2	1	1	2	1	1	6	1	5	2	7	1	5	7	3	4	4	5	1	2	4
Rollerskating	5	6	3	4	2	6	6	4	6.5	1	1	1	2	5	3	6	4	3	5	5	1	5	3	2	7	4	1	2	1	7	4	2	4	2	2	7	4	4	1	5	5	1	4	1	1	4	1	2	6	1	5	5	4	4	1	1	1	1	2	2	6	6	2	3	6	6	1	1	3	4	6	2	4	1	1	5	4	2	2	4.5	1	2	1	6.5	6	5	2	2	1	1	2	3	6	3	3	4	7	4.5	5	3
Sailing	7	5	3	5	4	6	7	4	2	1	1	1	3	5	3	6	4.5	6	6	7	1	3	5	3	7	3	1	4	4	6	1	4	4	2.5	7	3	6	2	2	7	5	1	4	1	5	1	1	2	4	5	3	4	7	2	1	4	2	1	4	1	4	3	3	5.5	1	5	1	3	3	6	6	3	5	1	1	4	4	3	2	4	1	2	3	1	7	6	1	3	2	1	1	4	6	3	5	4	4	4	1	3
Seeing_a_costumed_carnival	1	2	5	2	3	4	7	1	6	3	1	1	6	2	4	5	5	6	4	6	1	3	3	6	7	1	1	4	5	4	1	6	4	3.5	7	5	4.5	2	6	7	5	1	5	1	1	3	1	4	4	3	6	3.5	1	3	1	3	1	1	6	2	4	4	5	5	3	4	1	4.5	2	2	5	5	6	1	1	6	4	5	3	5	1	1	5	5.5	6	7	5	3	1	1	1	2.5	7	3	5	6	6	4	4	2
Shopping	3	6	6	4	3	6	7	1	5	3	6	3	5	5	7	2	3	4	3	7	6	5	6	5	6	4	3	3	1	7	3	3	7	5	7	7	7	2	5	6	6	4	5	3	4	7	7	4	6	7	6	6	2	6	3	7	2	4	5	7	3	6	5	3	2	5	5	6	4	1	7	7	7	6	2	4	7	3	6	5	2	2	7	1	7	5	3	3	6	7	6	3	3	5	4	2	7	7	7	3
Sitting_on_a_bench	2	6	6	1	1	6	6	5	6	7	1	3	5	2	1	6	1	2	1	4	1	2	3	5	6	3	1	2	5	5	4	2	4	4	5	6	5	3	4	5	5	4	3	1	1	7	4	3	3	7	2.5	3	1	2.5	1	5	2	4	5	3	5	2	7	6	6	6	2	5	2	1	1	3	6	5	4	2	2	3	2	4	5	1	6	4	5	3	5	1	1	5	3	5	6	2	4	1	4	2	2	3
Skiing_cross-country	5	5	2	5	1	5	3	2	5	1	2	1	2	5	1	6	5	3	3	4	2	5	2	2	7	3	1	3	5	7	4	1	4	1	1	1	5	3	2	5	3	5	5	1	1	1	1	1	2	3	2	4	7	1	1	1	1	1	2	1	5	1	1	5	1	6	1	1	1	5	7	4	6	1	1	5	2	2	1.5	1.5	1	2	1	1	2	4	1	3	1	1	3	4	6	5	2	6	2.5	1	1	3.5
Skiing_downhill	7	6	3	5	1	4	1	6	6	1	5	1	2	6	1	6	5	2	3	7	1	5	2	2	7	3	1	2	1	6	4	2	3	1	6	7	4	3	1	6	1	1	5	1	1	1	1	1	2	5	4	2	4.5	1	1	2	2	1	2	2	5	5	1	6.5	3	6	2	1	4	6	7	6	3	1	1	4	1	3	1	3	1	1	4	1	2	4	3	2	1	1	3	4	6	5	3	5	3	4	1	4
Skiing_on_water	7	5	1	5	1	4	7	3	6	1	5	1	2	7	1	3	6	3	2	7	1	4	1	2	7	3.5	1	3	1	7	2	2	3	1	5.5	1	7	5	2	7	1	1	3.5	1	1	1	1	1	2	1	3	5	4	5	1	4	2	1	2	1	5	4	5	6	1	4	1	1	4	6	7	3	4	1	1	3	3	4	1	1	2	1	3	3	6	5	3	1	2	1	6	4	6	5	3	6	4	3	1	3
Solving_jigsaw_puzzles	1.5	3	6	2	2	4	1	4	5	7	1	3	4	2	7	6	6	4	6	2	1	4	7	4	6	7	2	4	2	3	3	5	5	5	6	7	3	2	6	5	5	4	4	1	1	7	5.5	6	7	2	7	3	1	2	2	6	4	4	5	3	4	4	6	5	5	7	4	7	2	7	7	4	4	1	3	5	1	1	4	6	1	1	6	4	3	5	4	6	2	1	3	4	6	4	4	3	7	4	1	3
Speed_dating	1	2	2	4	1	3	1	1	4	3	1	1	2	2	1	1	2	1	1	2	1	5	1	3	6	3	1	4	1	1	1	1	4	1	1	1	4	2	1	4	1	1	2	1	1	1	1	1	1	3	3	5	1	5	3	4	1	1	2	2	2	1	1	4	3	2	2	1	1	4	4	6	4	1	1	2	2	4	1	1	2	1	1	1	1	1	4	6	1	1	1	1	1	4	1	7	1	1	2	1
Storytelling	5	3	6	1	5	4	7	2	6	3	3	1	4	5	7	7	5	4	3	4.5	1	3.5	4	5	7	3	1	2	2	1	2	5	5	2	2	7	5	2	6	4	5	2	4	2	1	3	4	2	6	3	5	6	3	2	3	7	1	4	4	4	3	3	5	2	3	3	2	5	2	2	7	4	5	1	5	4	3	2	3	5	1	1	1.5	2.5	7	7	2	5	2	1	6	2	6	3	4	6	6	6	1	3
Sun-bathing	5	6	5	4	4	6	5	6	6	1	1	1	3	7	4	6	6	3	3	3	1	2	2	3	7	5	1	4	4	1	4	6	4	1	7	5	4	2	2	2	5	2	5	1	1	4	1	1	7	7	1	2	1	4	1	6	3	1	3	1	6	4	7	6	6	7	1	1	5	4	3	4	4	1	5	4	5	3	3	6	2	1	2	7	2	2	1	2	1	1	4	1	2	3	3	5	5	1	4	3
Swimming	5	5	6	5	2	5	6	2	2	1	5	3	5	7	6	6	7	5	4	7	1	5	4	5	7	3	5	3	7	5	6	5	5	4	7	7	4	4	5	6	6	6	6	1	2	7	1	4	7	3	2	4	4	7	2	7	3	4	6	4	5	4	7	6	6	7	4	1	3	5	7	2	7	4	2	6	5	5	2	5	2	1	4	6	6	7	3	7	3	1	6	5	5	4.5	5	4	7	5	1	5
Teaching_a_class	6	2	6	1	4	1	7	4	2	3	1	1	7	1	7	6	3	3	4	3	1	5	1	7	7	5	1	1	6	3	1	7	4	2	1	7	2	2	7	6	5	6	3	2	1	4	1	1	1	1	3	2	6	5	1	3	1	1	7	3	2	1	3	4	1	3	5	5	1	5	5	4	4	4	1	4	1	2	3	1	1	1	4	7	5	1	2	3	1	3	5	1	6	5	2	7	6	1	1	4
Theater_acting	1.5	2	6	2	1	3	7	1	4	1	1	1	5	6	3	6	4	2.5	1	5	1	4	1	5	7	1	5	2	1	4	2	2	5	1	1	6	5	2	4	6	7	3	2	1	1	1	1	1	5	1	4	2	3.5	4	1	7	1	1	5	4	1	1	2	4	1	4	2	1	1	1	6	3.5	3	1	1	2.5	5	1	2	5	1	1	1	1	5	7	1	1	1	1	1	1	5	4	2	7	5	5	1	2
Traveling	6	5	7	3	4	6	7	3	7	7	6	1	7	7	7	7	7	5	6	7	1	7	5	7	7	3	5	7	6	7	6	7	5	7	7	7	7	5	7	7	7	6	6	2	3	7	6	6	7	7	6	4	7	6	2	6	3	2	7	6	5	6	7	7	6	7	6	7	5	7	7	5	7	7	2	7	7	7	7	7	3	4	5.5	7	7	7	7	5	5	7	1	6	7	6	5	7	7	3	4	3
